주택관리번호,주택명,전용면적,공급금액(분양최고금액),모집공고일,1순위 해당지역 접수시작일,1순위 해당지역 접수종료일,2순위 해당지역 접수시작일,2순위 해당지역 접수종료일,주택구분코드명,전용면적(평)
2024000546,한신더휴 하이엔에듀포레,45,"541,900,000",2024-11-22,2024-12-03,2024-12-03,2024-12-04,2024-12-04,APT,13.6
2024000546,한신더휴 하이엔에듀포레,59,"689,500,000",2024-11-22,2024-12-03,2024-12-03,2024-12-04,2024-12-04,APT,17.8
2024000546,한신더휴 하이엔에듀포레,59,"673,900,000",2024-11-22,2024-12-03,2024-12-03,2024-12-04,2024-12-04,APT,17.8
2024000546,한신더휴 하이엔에듀포레,59,"676,000,000",2024-11-22,2024-12-03,2024-12-03,2024-12-04,2024-12-04,APT,17.8
2024000671,e편한세상 동인천 베이프런트,59,"441,700,000",2024-11-28,2024-12-10,2024-12-10,2024-12-11,2024-12-11,APT,17.8
2024000671,e편한세상 동인천 베이프런트,74,"542,400,000",2024-11-28,2024-12-10,2024-12-10,2024-12-11,2024-12-11,APT,22.4
2024000671,e편한세상 동인천 베이프런트,74,"527,100,000",2024-11-28,2024-12-10,2024-12-10,2024-12-11,2024-12-11,APT,22.4
2024000671,e편한세상 동인천 베이프런트,84,"612,200,000",2024-11-28,2024-12-10,2024-12-10,2024-12-11,2024-12-11,APT,25.4
2024000671,e편한세상 동인천 베이프런트,84,"592,700,000",2024-11-28,2024-12-10,2024-12-10,2024-12-11,2024-12-11,APT,25.4
2024000672,아크로 리츠카운티,44,"1,403,700,000",2024-11-26,2024-12-10,2024-12-10,2024-12-12,2024-12-12,APT,13.3
2024000672,아크로 리츠카운티,59,"1,676,300,000",2024-11-26,2024-12-10,2024-12-10,2024-12-12,2024-12-12,APT,17.8
2024000672,아크로 리츠카운티,75,"2,066,000,000",2024-11-26,2024-12-10,2024-12-10,2024-12-12,2024-12-12,APT,22.7
2024000672,아크로 리츠카운티,75,"2,024,300,000",2024-11-26,2024-12-10,2024-12-10,2024-12-12,2024-12-12,APT,22.7
2024000672,아크로 리츠카운티,84,"2,171,200,000",2024-11-26,2024-12-10,2024-12-10,2024-12-12,2024-12-12,APT,25.4
2024000672,아크로 리츠카운티,144,"3,841,700,000",2024-11-26,2024-12-10,2024-12-10,2024-12-12,2024-12-12,APT,43.6
2024000675,인하대역 푸르지오 에듀포레,37,"270,800,000",2024-11-22,2024-12-03,2024-12-03,2024-12-04,2024-12-04,APT,11.2
2024000675,인하대역 푸르지오 에듀포레,49,"398,200,000",2024-11-22,2024-12-03,2024-12-03,2024-12-04,2024-12-04,APT,14.8
2024000675,인하대역 푸르지오 에듀포레,52,"438,400,000",2024-11-22,2024-12-03,2024-12-03,2024-12-04,2024-12-04,APT,15.7
2024000675,인하대역 푸르지오 에듀포레,59,"459,100,000",2024-11-22,2024-12-03,2024-12-03,2024-12-04,2024-12-04,APT,17.8
2024000675,인하대역 푸르지오 에듀포레,59,"445,000,000",2024-11-22,2024-12-03,2024-12-03,2024-12-04,2024-12-04,APT,17.8
2024000675,인하대역 푸르지오 에듀포레,74,"583,900,000",2024-11-22,2024-12-03,2024-12-03,2024-12-04,2024-12-04,APT,22.4
2024000675,인하대역 푸르지오 에듀포레,74,"572,200,000",2024-11-22,2024-12-03,2024-12-03,2024-12-04,2024-12-04,APT,22.4
2024000675,인하대역 푸르지오 에듀포레,74,"583,500,000",2024-11-22,2024-12-03,2024-12-03,2024-12-04,2024-12-04,APT,22.4
2024000675,인하대역 푸르지오 에듀포레,84,"624,800,000",2024-11-22,2024-12-03,2024-12-03,2024-12-04,2024-12-04,APT,25.4
2024000675,인하대역 푸르지오 에듀포레,84,"657,900,000",2024-11-22,2024-12-03,2024-12-03,2024-12-04,2024-12-04,APT,25.4
2024000688,힐스테이트 등촌역,59,"1,140,000,000",2024-11-25,2024-12-06,2024-12-06,2024-12-09,2024-12-09,APT,17.8
2024000688,힐스테이트 등촌역,59,"1,124,000,000",2024-11-25,2024-12-06,2024-12-06,2024-12-09,2024-12-09,APT,17.8
2024000688,힐스테이트 등촌역,84,"1,422,000,000",2024-11-25,2024-12-06,2024-12-06,2024-12-09,2024-12-09,APT,25.4
2024000688,힐스테이트 등촌역,84,"1,454,000,000",2024-11-25,2024-12-06,2024-12-06,2024-12-09,2024-12-09,APT,25.4
2024000688,힐스테이트 등촌역,84,"1,445,000,000",2024-11-25,2024-12-06,2024-12-06,2024-12-09,2024-12-09,APT,25.4
2024000692,창경궁 롯데캐슬 시그니처,59,"1,089,100,000",2024-11-28,2024-12-10,2024-12-10,2024-12-11,2024-12-11,APT,17.8
2024000692,창경궁 롯데캐슬 시그니처,59,"1,097,400,000",2024-11-28,2024-12-10,2024-12-10,2024-12-11,2024-12-11,APT,17.8
2024000692,창경궁 롯데캐슬 시그니처,59,"1,057,700,000",2024-11-28,2024-12-10,2024-12-10,2024-12-11,2024-12-11,APT,17.8
2024000692,창경궁 롯데캐슬 시그니처,84,"1,390,000,000",2024-11-28,2024-12-10,2024-12-10,2024-12-11,2024-12-11,APT,25.4
